"Sample Name"	"Protocol REF"	"Performer"	"Date"	"Extract Name"	"Material Type"	"Term Source REF"	"Term Accession Number"	"Protocol REF"	"Performer"	"Parameter Value[libprep_day1]"	"Parameter Value[libprep_day2]"	"Parameter Value[libprep_day3]"	"Parameter Value[library facility]"	"Parameter Value[kit]"	"Parameter Value[library layout]"	"Parameter Value[selection strategy]"	"Parameter Value[mid]"	"Parameter Value[PCR cycles]"	"Labeled Extract Name"	"Characteristics[fragment size]"	"Unit"	"Term Source REF"	"Term Accession Number"	"Comment[NOMINAL_SDEV]"	"Protocol REF"	"Performer"	"Date"	"Extract Name"	"Protocol REF"	"Performer"	"Date"	"Parameter Value[cBot clustering kit]"	"Parameter Value[cBot clustering protocol]"	"Parameter Value[phiX]"	"Unit"	"Term Source REF"	"Term Accession Number"	"Protocol REF"	"Performer"	"Parameter Value[cluster density]"	"Parameter Value[facility]"	"Parameter Value[sequencing instrument]"	"Parameter Value[read length]"	"Comment[PathBio submission]"	"Assay Name"	"Protocol REF"	"Raw Data File"	"Comment[MD5]"	"Protocol REF"	"Parameter Value[alignment algorithm]"	"Protocol REF"	"Normalization Name"	"Data Transformation Name"	"Derived Data File"
""	"nucleic acid extraction protocol"	""	""	""	""	""	""	"nucleic acid library construction protocol"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"pooling protocol"	""	""	""	"clustering protocol"	""	""	""	""	""	""	""	""	"nucleic acid sequencing protocol"	""	""	""	""	""	""	""	"combine files"	""	""	"sequence analysis data transformation"	""	"normalization data transformation protocol"	""	""	""
""	"nucleic acid extraction protocol"	""	""	""	""	""	""	"nucleic acid library construction protocol"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"pooling protocol"	""	""	"Ex: 41490 lane5 pool"	"clustering protocol"	""	""	""	""	""	""	""	""	"nucleic acid sequencing protocol"	""	""	""	""	""	""	""	"combine files"	""	""	"sequence analysis data transformation"	""	"normalization data transformation protocol"	""	""	""
""	"nucleic acid extraction protocol"	""	""	""	""	""	""	"nucleic acid library construction protocol"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"pooling protocol"	""	""	""	"clustering protocol"	""	""	""	""	""	""	""	""	"nucleic acid sequencing protocol"	""	""	""	""	""	""	""	"combine files"	""	""	"sequence analysis data transformation"	""	"normalization data transformation protocol"	""	""	""
""	"nucleic acid extraction protocol"	""	""	""	""	""	""	"nucleic acid library construction protocol"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"pooling protocol"	""	""	""	"clustering protocol"	""	""	""	""	""	""	""	""	"nucleic acid sequencing protocol"	""	""	""	""	""	""	""	"combine files"	""	""	"sequence analysis data transformation"	""	"normalization data transformation protocol"	""	""	""
""	"nucleic acid extraction protocol"	""	""	""	""	""	""	"nucleic acid library construction protocol"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"pooling protocol"	""	""	""	"clustering protocol"	""	""	""	""	""	""	""	""	"nucleic acid sequencing protocol"	""	""	""	""	""	""	""	"combine files"	""	""	"sequence analysis data transformation"	""	"normalization data transformation protocol"	""	""	""
""	"nucleic acid extraction protocol"	""	""	""	""	""	""	"nucleic acid library construction protocol"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"pooling protocol"	""	""	""	"clustering protocol"	""	""	""	""	""	""	""	""	"nucleic acid sequencing protocol"	""	""	""	""	""	""	""	"combine files"	""	""	"sequence analysis data transformation"	""	"normalization data transformation protocol"	""	""	""
""	"nucleic acid extraction protocol"	""	""	""	""	""	""	"nucleic acid library construction protocol"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"pooling protocol"	""	""	""	"clustering protocol"	""	""	""	""	""	""	""	""	"nucleic acid sequencing protocol"	""	""	""	""	""	""	""	"combine files"	""	""	"sequence analysis data transformation"	""	"normalization data transformation protocol"	""	""	""
""	"nucleic acid extraction protocol"	""	""	""	""	""	""	"nucleic acid library construction protocol"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"pooling protocol"	""	""	""	"clustering protocol"	""	""	""	""	""	""	""	""	"nucleic acid sequencing protocol"	""	""	""	""	""	""	""	"combine files"	""	""	"sequence analysis data transformation"	""	"normalization data transformation protocol"	""	""	""
""	"nucleic acid extraction protocol"	""	""	""	""	""	""	"nucleic acid library construction protocol"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"pooling protocol"	""	""	""	"clustering protocol"	""	""	""	""	""	""	""	""	"nucleic acid sequencing protocol"	""	""	""	""	""	""	""	"combine files"	""	""	"sequence analysis data transformation"	""	"normalization data transformation protocol"	""	""	""
""	"nucleic acid extraction protocol"	""	""	""	""	""	""	"nucleic acid library construction protocol"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"pooling protocol"	""	""	""	"clustering protocol"	""	""	""	""	""	""	""	""	"nucleic acid sequencing protocol"	""	""	""	""	""	""	""	"combine files"	""	""	"sequence analysis data transformation"	""	"normalization data transformation protocol"	""	""	""
